area_type,location,size,total_sqft,bath,balcony,price,price_per_sqft
3,678,11,1724.0,3.0,2.0,125.0,0.07250580046403712
3,299,11,1290.0,2.0,2.0,56.12,0.043503875968992245
0,1095,9,1143.0,2.0,2.0,45.0,0.03937007874015748
0,773,9,1296.0,2.0,2.0,81.0,0.0625
3,962,11,1254.0,3.0,2.0,38.0,0.030303030303030304
3,403,0,600.0,1.0,0.0,38.0,0.06333333333333334
2,1171,1,660.0,1.0,0.0,48.0,0.07272727272727272
3,614,9,1330.74,2.0,2.0,91.79,0.0689766596029277
2,458,22,600.0,9.0,2.0,200.0,0.3333333333333333
3,363,9,970.0,2.0,0.0,33.0,0.03402061855670103
3,1163,9,1459.0,2.0,1.0,94.82,0.06498971898560657
2,577,10,800.0,1.0,1.0,130.0,0.1625
0,489,9,869.0,2.0,1.0,36.0,0.04142692750287687
3,75,9,1270.0,2.0,1.0,50.0,0.03937007874015748
3,232,11,1670.0,3.0,1.0,99.0,0.0592814371257485
0,1163,11,2010.0,3.0,2.0,91.0,0.04527363184079602
3,691,9,1185.0,2.0,2.0,75.0,0.06329113924050633
3,1171,11,1600.0,2.0,3.0,75.0,0.046875
3,213,9,1200.0,2.0,2.0,44.0,0.03666666666666667
0,333,14,3210.0,2.0,2.0,192.0,0.059813084112149535
3,917,9,1500.0,2.0,2.0,185.0,0.12333333333333334
2,773,18,1407.0,4.0,1.0,150.0,0.10660980810234541
3,433,9,840.0,2.0,2.0,45.0,0.05357142857142857
3,403,9,845.0,2.0,1.0,55.0,0.0650887573964497
0,1105,9,1160.0,2.0,2.0,44.0,0.03793103448275862
0,247,22,3000.0,8.0,0.0,140.0,0.04666666666666667
3,363,9,1100.0,2.0,1.0,62.0,0.056363636363636366
3,448,9,1140.0,2.0,3.0,43.0,0.037719298245614034
3,742,9,1220.0,2.0,1.0,57.0,0.04672131147540984
2,339,22,1350.0,7.0,0.0,85.0,0.06296296296296296
3,614,9,1005.0,2.0,1.0,36.68,0.03649751243781094
2,373,12,500.0,3.0,2.0,100.0,0.2
3,213,9,1358.0,2.0,1.0,80.58,0.05933726067746686
3,478,11,1569.0,3.0,1.0,101.0,0.06437221159974506
3,470,9,1240.0,2.0,1.0,70.0,0.056451612903225805
3,485,11,2089.0,3.0,2.0,140.0,0.06701771182383916
3,662,9,1206.0,2.0,1.0,48.23,0.03999170812603648
3,591,9,1150.0,2.0,3.0,40.0,0.034782608695652174
0,307,11,2511.0,3.0,3.0,205.0,0.08164078056551174
0,626,9,460.0,1.0,0.0,22.0,0.04782608695652174
3,647,11,1660.0,2.0,2.0,105.0,0.06325301204819277
0,485,14,3203.5,2.0,2.0,224.5,0.07007960043702201
3,1171,9,1326.0,2.0,2.0,78.0,0.058823529411764705
3,409,11,1325.0,2.0,2.0,60.8,0.045886792452830186
3,381,11,1499.0,5.0,2.0,102.0,0.06804536357571714
0,478,18,3000.0,7.0,2.0,210.0,0.07
3,614,11,1665.0,3.0,2.0,88.0,0.05285285285285285
3,326,9,708.0,2.0,2.0,37.0,0.052259887005649715
3,620,9,1060.0,2.0,2.0,58.06,0.05477358490566038
2,905,18,710.0,6.0,3.0,160.0,0.22535211267605634
0,956,9,1000.0,2.0,2.0,70.0,0.07
3,383,9,1000.0,2.0,1.0,28.88,0.02888
3,7,11,1450.0,2.0,2.0,70.0,0.04827586206896552
2,514,14,1200.0,4.0,2.0,155.0,0.12916666666666668
3,1066,9,1296.0,2.0,3.0,80.0,0.06172839506172839
3,368,11,1540.0,3.0,2.0,90.0,0.05844155844155844
3,964,11,1330.0,2.0,1.0,48.0,0.03609022556390978
0,341,9,1200.0,2.0,1.0,65.0,0.05416666666666667
0,1049,12,1200.0,3.0,1.0,90.0,0.075
3,1177,11,2502.0,3.0,3.0,138.0,0.05515587529976019
0,279,9,650.0,1.0,1.0,17.0,0.026153846153846153
2,663,12,2400.0,2.0,1.0,150.0,0.0625
3,440,9,1007.0,2.0,2.0,43.0,0.04270109235352532
3,985,9,1200.0,2.0,2.0,50.0,0.041666666666666664
3,859,9,966.0,2.0,2.0,49.9,0.05165631469979296
0,787,11,1630.0,2.0,1.0,98.0,0.06012269938650307
0,547,9,782.0,2.0,2.0,55.68,0.07120204603580563
3,333,9,1260.0,2.0,2.0,66.78,0.053
3,690,11,1800.0,3.0,3.0,120.0,0.06666666666666667
3,260,11,1413.0,2.0,2.0,75.0,0.05307855626326964
3,1163,9,1116.0,2.0,1.0,51.91,0.046514336917562724
3,383,11,1530.0,2.0,1.0,45.9,0.03
0,918,14,3700.0,4.0,1.0,225.0,0.060810810810810814
0,962,12,2497.0,3.0,2.0,140.0,0.05606728073688426
3,636,11,1540.0,2.0,3.0,64.0,0.04155844155844156
3,1066,11,1436.0,3.0,1.0,74.75,0.052054317548746516
3,729,9,1100.0,2.0,2.0,75.0,0.06818181818181818
2,485,10,276.0,3.0,3.0,23.0,0.08333333333333333
3,1066,11,1427.0,3.0,2.0,120.0,0.08409250175192712
3,84,11,2061.0,3.0,1.0,200.0,0.09704027171276079
0,979,13,2650.0,4.0,2.0,150.0,0.05660377358490566
3,333,11,1282.0,2.0,2.0,68.52,0.05344773790951638
0,586,9,1050.0,2.0,1.0,34.0,0.03238095238095238
0,684,11,1600.0,3.0,2.0,65.0,0.040625
3,1102,9,945.0,2.0,1.0,54.0,0.05714285714285714
3,498,9,1500.0,2.0,1.0,78.0,0.052
2,1149,20,950.0,7.0,0.0,115.0,0.12105263157894737
0,859,11,1870.0,3.0,3.0,110.0,0.058823529411764705
2,961,12,1600.0,3.0,1.0,75.0,0.046875
3,383,9,880.0,1.0,1.0,16.5,0.01875
2,923,14,1200.0,4.0,0.0,210.0,0.175
3,669,11,1535.0,3.0,2.0,83.0,0.054071661237785014
0,614,9,950.0,2.0,1.0,57.0,0.06
3,333,9,1360.0,2.0,1.0,65.0,0.04779411764705882
3,61,9,1073.5,2.0,0.0,54.005,0.05030740568234746
3,249,11,1280.0,3.0,1.0,50.4,0.039375
3,280,11,1260.0,2.0,2.0,85.05,0.0675
3,1171,15,3050.0,5.0,1.0,213.0,0.06983606557377049
3,620,11,1563.05,3.0,1.0,105.0,0.06717635392341896
3,514,9,1000.0,2.0,1.0,60.0,0.06
3,104,9,1167.0,2.0,1.0,43.76,0.037497857754927165
3,1147,19,4000.0,7.0,2.0,225.0,0.05625
3,663,11,1828.0,3.0,2.0,110.0,0.060175054704595186
3,638,9,890.0,2.0,1.0,35.0,0.03932584269662921
3,204,11,1612.0,3.0,3.0,46.74,0.028995037220843674
2,343,18,1034.0,5.0,2.0,185.0,0.17891682785299806
3,776,11,1710.0,4.0,2.0,91.31,0.05339766081871345
3,615,9,957.0,2.0,1.0,58.0,0.06060606060606061
3,5,11,1250.0,2.0,3.0,44.0,0.0352
3,511,9,1125.0,2.0,2.0,50.0,0.044444444444444446
3,385,9,1020.0,2.0,1.0,30.6,0.030000000000000002
3,591,9,1200.0,2.0,2.0,50.0,0.041666666666666664
3,1066,11,1735.0,3.0,3.0,135.0,0.07780979827089338
3,1066,11,2050.0,3.0,1.0,145.0,0.07073170731707316
0,1168,11,1350.0,2.0,3.0,48.0,0.035555555555555556
3,499,9,1063.0,2.0,1.0,32.0,0.030103480714957668
3,643,11,1904.0,3.0,1.0,150.0,0.07878151260504201
3,887,11,2000.0,3.0,1.0,175.0,0.0875
3,961,9,1242.5,2.0,0.0,43.49,0.035002012072434606
3,1064,11,1425.0,2.0,2.0,75.0,0.05263157894736842
3,383,11,1500.0,2.0,1.0,64.5,0.043
0,383,9,1060.0,2.0,1.0,60.0,0.05660377358490566
0,537,11,1470.0,2.0,2.0,70.0,0.047619047619047616
3,665,17,1300.0,6.0,0.0,99.0,0.07615384615384616
3,138,0,450.0,1.0,1.0,11.0,0.024444444444444446
3,383,9,1152.0,2.0,1.0,64.5,0.055989583333333336
3,383,11,1350.0,2.0,1.0,56.0,0.04148148148148148
3,268,11,1550.0,3.0,3.0,65.0,0.041935483870967745
2,264,12,1500.0,3.0,2.0,100.0,0.06666666666666667
2,674,16,600.0,3.0,2.0,85.0,0.14166666666666666
2,792,1,400.0,1.0,0.0,14.0,0.035
3,729,0,705.0,1.0,2.0,67.0,0.0950354609929078
0,383,9,770.0,1.0,1.0,36.0,0.046753246753246755
3,511,9,1242.0,2.0,3.0,51.0,0.04106280193236715
3,477,11,1700.0,3.0,2.0,155.0,0.09117647058823529
3,1066,11,2144.0,3.0,2.0,145.0,0.06763059701492537
3,1135,11,1704.0,3.0,2.0,110.0,0.06455399061032864
3,383,9,1070.0,2.0,1.0,52.0,0.048598130841121495
3,543,9,1340.0,2.0,2.0,55.7,0.04156716417910448
0,383,9,1025.0,2.0,1.0,46.0,0.0448780487804878
3,577,9,1277.5,2.0,0.0,56.8,0.04446183953033268
3,742,9,1200.0,2.0,2.0,52.0,0.043333333333333335
0,614,14,2250.0,4.0,1.0,110.0,0.04888888888888889
3,857,11,1550.0,2.0,3.0,80.0,0.05161290322580645
3,742,9,1200.0,2.0,2.0,60.0,0.05
3,1171,9,1327.0,2.0,2.0,98.0,0.07385079125847777
3,663,9,1186.0,2.0,2.0,58.0,0.048903878583473864
0,711,12,1783.0,3.0,1.0,115.0,0.06449803701626472
3,458,11,1400.0,3.0,2.0,56.0,0.04
3,790,9,980.0,2.0,1.0,48.0,0.04897959183673469
3,381,9,1285.0,2.0,2.0,82.0,0.06381322957198443
3,696,11,912.0,2.0,1.0,70.0,0.07675438596491228
0,1163,9,1225.0,2.0,2.0,47.6,0.03885714285714286
3,1163,9,1075.0,2.0,1.0,53.0,0.04930232558139535
0,586,11,1260.0,2.0,2.0,54.0,0.04285714285714286
3,1171,11,1282.0,2.0,2.0,48.7,0.03798751950078003
3,655,11,1909.0,3.0,2.0,88.0,0.04609743321110529
3,849,9,1359.0,2.0,1.0,87.0,0.0640176600441501
0,795,9,1207.0,2.0,2.0,43.5,0.03603976801988401
2,843,14,1736.0,6.0,0.0,190.0,0.10944700460829493
3,604,11,1595.0,3.0,2.0,65.0,0.04075235109717868
0,830,11,1798.0,3.0,2.0,89.0,0.04949944382647386
3,388,11,1475.0,3.0,2.0,78.29,0.05307796610169492
3,1058,11,1580.0,3.0,3.0,100.0,0.06329113924050633
3,328,9,1295.0,2.0,1.0,65.0,0.05019305019305019
0,715,18,3600.0,6.0,0.0,141.0,0.03916666666666667
3,383,0,589.0,1.0,1.0,27.0,0.04584040747028863
3,821,11,1415.0,3.0,3.0,78.0,0.05512367491166078
3,962,11,1787.0,3.0,2.0,98.29,0.05500279798545048
3,962,11,1787.0,3.0,2.0,125.0,0.06994963626189143
3,661,11,1475.0,2.0,3.0,90.0,0.061016949152542375
0,692,13,2000.0,4.0,1.0,75.5,0.03775
3,962,9,984.0,2.0,1.0,44.28,0.045
3,333,11,1630.0,2.0,2.0,74.82,0.04590184049079754
0,59,9,1080.0,2.0,2.0,72.0,0.06666666666666667
2,985,10,1500.0,2.0,1.0,115.0,0.07666666666666666
3,476,11,1900.0,3.0,2.0,119.0,0.06263157894736843
3,370,9,805.0,2.0,1.0,22.14,0.027503105590062114
3,256,9,1153.0,2.0,2.0,56.4,0.04891587163920208
3,350,9,1148.0,2.0,2.0,60.0,0.05226480836236934
3,775,9,1110.0,2.0,2.0,55.0,0.04954954954954955
0,383,9,1100.0,2.0,2.0,42.0,0.038181818181818185
3,596,9,1290.0,2.0,2.0,110.0,0.08527131782945736
3,374,11,1500.0,2.0,1.0,65.0,0.043333333333333335
3,197,9,1080.0,2.0,2.0,39.0,0.03611111111111111
3,1135,11,1933.0,3.0,1.0,129.0,0.06673564407656493
0,918,16,3500.0,5.0,2.0,150.0,0.04285714285714286
0,671,9,1060.0,2.0,2.0,60.0,0.05660377358490566
3,279,0,645.0,1.0,1.0,16.45,0.025503875968992246
2,768,22,2600.0,8.0,2.0,180.0,0.06923076923076923
3,279,0,645.0,1.0,1.0,16.45,0.025503875968992246
3,133,11,1644.0,3.0,3.0,84.0,0.051094890510948905
3,810,9,1285.0,2.0,3.0,72.5,0.05642023346303502
2,383,12,1200.0,3.0,1.0,90.0,0.075
3,383,9,910.0,2.0,1.0,40.0,0.04395604395604396
3,663,11,1577.0,3.0,1.0,70.0,0.04438807863031072
3,827,11,2420.0,3.0,2.0,185.0,0.07644628099173553
3,279,9,800.0,1.0,1.0,20.0,0.025
0,102,9,1060.0,2.0,2.0,55.0,0.05188679245283019
3,59,9,1270.0,2.0,2.0,93.0,0.07322834645669292
3,996,9,900.0,2.0,2.0,22.5,0.025
0,679,10,1280.0,2.0,1.0,69.0,0.05390625
2,496,14,1200.0,2.0,0.0,95.0,0.07916666666666666
0,962,9,1025.0,2.0,2.0,36.0,0.0351219512195122
3,383,9,1108.0,2.0,1.0,63.0,0.05685920577617329
2,706,16,1200.0,5.0,2.0,170.0,0.14166666666666666
3,316,11,3045.0,3.0,2.0,170.0,0.05582922824302135
3,1135,11,1500.0,3.0,2.0,75.5,0.050333333333333334
3,901,9,1295.0,2.0,2.0,43.9,0.0338996138996139
3,256,9,1162.0,2.0,1.0,59.9,0.05154905335628227
3,962,9,1035.0,2.0,2.0,49.2,0.04753623188405797
0,138,14,1600.0,4.0,0.0,52.8,0.033
3,579,11,1464.0,3.0,2.0,46.0,0.031420765027322405
3,485,11,1866.0,2.0,2.0,61.58,0.0330010718113612
3,416,9,700.0,1.0,1.0,26.0,0.037142857142857144
3,591,11,1804.0,3.0,2.0,120.0,0.06651884700665188
3,961,9,913.0,2.0,1.0,32.0,0.03504928806133625
3,1059,11,1868.0,3.0,2.0,131.0,0.07012847965738758
0,638,9,883.0,2.0,1.0,45.0,0.05096262740656852
2,1039,10,900.0,2.0,1.0,110.0,0.12222222222222222
3,655,11,1664.0,2.0,3.0,73.95,0.04444110576923077
3,478,11,2026.0,3.0,2.0,132.0,0.06515301085883514
3,171,9,1210.0,2.0,1.0,80.9,0.0668595041322314
3,586,11,1762.0,3.0,3.0,91.45,0.05190124858115778
3,559,11,1252.0,3.0,3.0,55.0,0.0439297124600639
0,426,9,861.0,2.0,1.0,34.5,0.04006968641114982
0,59,11,1420.0,2.0,1.0,100.0,0.07042253521126761
0,388,11,1490.0,3.0,1.0,78.8,0.05288590604026845
3,246,11,1075.0,2.0,1.0,46.0,0.04279069767441861
3,833,11,1425.0,2.0,2.0,94.0,0.06596491228070175
0,591,9,1200.0,2.0,1.0,40.0,0.03333333333333333
3,588,11,1280.0,2.0,2.0,56.0,0.04375
3,1000,9,1084.0,2.0,2.0,50.0,0.046125461254612546
3,279,9,1015.0,2.0,2.0,25.88,0.025497536945812808
3,614,9,1017.0,2.0,1.0,51.25,0.05039331366764995
3,470,9,1027.0,2.0,2.0,44.0,0.042843232716650435
3,385,9,1069.0,2.0,2.0,45.0,0.042095416276894296
3,476,9,1349.0,2.0,1.0,98.2,0.07279466271312084
3,64,9,1005.0,2.0,1.0,50.0,0.04975124378109453
3,540,9,1417.0,2.0,3.0,75.0,0.0529287226534933
2,1056,12,1475.0,3.0,1.0,98.0,0.06644067796610169
1,753,9,950.0,2.0,2.0,47.0,0.049473684210526316
3,886,13,2000.0,4.0,0.0,120.0,0.06
2,418,12,880.0,3.0,1.0,140.0,0.1590909090909091
3,962,13,1863.0,3.0,2.0,104.0,0.055823939881910895
3,1003,9,1010.0,2.0,1.0,29.5,0.02920792079207921
3,591,11,1425.0,2.0,1.0,70.0,0.04912280701754386
3,1135,11,1450.0,3.0,0.0,100.0,0.06896551724137931
3,663,11,1847.0,3.0,2.0,105.0,0.0568489442338928
3,67,9,1100.0,2.0,3.0,45.0,0.04090909090909091
3,614,0,525.0,1.0,1.0,26.0,0.049523809523809526
3,726,11,1665.0,3.0,2.0,95.0,0.057057057057057055
3,212,13,1664.0,4.0,3.0,65.0,0.0390625
3,531,11,1850.0,3.0,3.0,150.0,0.08108108108108109
3,849,9,1438.0,2.0,3.0,100.0,0.06954102920723226
3,1040,11,1560.0,3.0,3.0,115.0,0.07371794871794872
3,1171,9,1350.0,2.0,1.0,55.55,0.04114814814814815
3,614,11,1550.0,3.0,3.0,67.0,0.043225806451612905
3,728,9,1140.0,2.0,2.0,46.5,0.04078947368421053
2,1023,16,1200.0,5.0,2.0,180.0,0.15
3,648,9,850.0,2.0,2.0,27.0,0.03176470588235294
3,1163,9,1280.0,2.0,2.0,75.0,0.05859375
0,772,9,1170.0,2.0,2.0,52.0,0.044444444444444446
3,766,9,1113.0,2.0,1.0,51.0,0.04582210242587601
3,485,9,1385.0,2.0,1.0,83.09,0.059992779783393506
3,383,9,1128.0,2.0,1.0,65.0,0.057624113475177305
2,742,10,1200.0,2.0,2.0,128.0,0.10666666666666667
2,85,14,1200.0,4.0,3.0,165.0,0.1375
3,470,11,1464.0,3.0,2.0,56.0,0.03825136612021858
3,731,9,1200.0,2.0,2.0,55.0,0.04583333333333333
3,626,9,1200.0,2.0,2.0,52.0,0.043333333333333335
3,589,11,1150.0,2.0,1.0,55.0,0.04782608695652174
0,206,11,1645.0,3.0,2.0,95.0,0.057750759878419454
3,962,9,1000.0,2.0,1.0,67.0,0.067
2,470,14,2650.0,4.0,2.0,198.0,0.07471698113207548
3,55,9,1192.0,2.0,2.0,74.0,0.06208053691275168
3,1092,11,2135.0,3.0,2.0,215.0,0.10070257611241218
3,1163,9,1173.0,2.0,1.0,58.0,0.0494458653026428
0,1095,9,1020.0,2.0,2.0,45.0,0.04411764705882353
3,1008,11,1600.0,3.0,3.0,64.0,0.04
2,1054,10,1200.0,2.0,0.0,79.0,0.06583333333333333
1,770,9,1230.0,2.0,3.0,48.0,0.03902439024390244
3,5,9,1250.0,2.0,2.0,40.0,0.032
3,591,9,1325.0,2.0,2.0,76.0,0.057358490566037736
0,59,11,1850.0,3.0,1.0,150.0,0.08108108108108109
3,614,0,525.0,2.0,2.0,21.53,0.041009523809523815
3,207,9,1200.0,2.0,2.0,65.0,0.05416666666666667
2,257,12,1350.0,2.0,0.0,140.0,0.1037037037037037
3,248,11,1260.0,3.0,1.0,49.36,0.039174603174603174
3,874,11,1800.0,3.0,0.0,150.0,0.08333333333333333
2,1044,12,11.0,3.0,2.0,74.0,6.7272727272727275
0,125,9,1100.0,2.0,1.0,43.25,0.03931818181818182
3,473,9,1508.0,2.0,1.0,77.0,0.05106100795755968
1,955,11,1592.0,3.0,2.0,75.0,0.0471105527638191
3,84,9,1388.0,2.0,3.0,57.0,0.04106628242074928
3,385,0,630.0,1.0,1.0,28.35,0.045000000000000005
3,190,11,1762.0,3.0,1.0,125.0,0.07094211123723042
3,169,9,950.0,2.0,2.0,50.0,0.05263157894736842
3,715,9,1116.0,2.0,1.0,50.0,0.044802867383512544
3,807,9,1308.0,2.0,2.0,89.04,0.06807339449541285
3,711,11,1200.0,3.0,0.0,90.0,0.075
0,199,0,500.0,1.0,1.0,18.5,0.037
3,481,9,1075.0,2.0,1.0,52.0,0.04837209302325581
3,279,0,530.0,1.0,0.0,11.66,0.022
0,217,9,1205.0,2.0,3.0,66.0,0.054771784232365145
3,52,9,1075.0,2.0,2.0,60.0,0.05581395348837209
0,577,9,930.0,2.0,2.0,39.0,0.041935483870967745
3,171,9,1380.0,2.0,1.0,60.0,0.043478260869565216
3,476,13,2483.0,5.0,2.0,212.0,0.08538058799838905
0,651,9,1166.0,2.0,2.0,55.0,0.04716981132075472
3,199,9,1050.0,2.0,1.0,65.0,0.06190476190476191
3,213,9,1200.0,2.0,2.0,46.8,0.039
3,691,11,1600.0,2.0,1.0,108.0,0.0675
3,244,11,1935.0,3.0,2.0,110.0,0.056847545219638244
3,61,0,451.0,1.0,0.0,29.9,0.06629711751662971
3,383,11,1800.0,3.0,2.0,95.0,0.05277777777777778
3,545,11,1400.0,3.0,0.0,77.0,0.055
3,478,11,1801.0,3.0,2.0,115.0,0.06385341476957246
0,716,9,1451.0,2.0,2.0,90.0,0.06202618883528601
2,112,10,1200.0,1.0,1.0,36.0,0.03
3,213,9,1160.0,2.0,2.0,44.0,0.03793103448275862
0,636,9,1000.0,2.0,1.0,25.0,0.025
3,614,9,950.0,2.0,1.0,40.0,0.042105263157894736
0,494,11,1629.0,3.0,2.0,79.0,0.048496009821976674
0,1135,11,1580.0,2.0,0.0,134.0,0.08481012658227848
3,1135,11,1826.0,3.0,2.0,121.0,0.06626506024096386
0,59,9,1245.0,2.0,1.0,94.0,0.07550200803212852
3,901,9,1145.0,2.0,2.0,45.79,0.03999126637554585
3,1010,9,825.0,2.0,1.0,33.0,0.04
3,1177,11,1693.0,3.0,3.0,108.0,0.0637920850561134
3,388,9,1113.27,2.0,2.0,53.0,0.047607498630161595
0,130,9,1460.0,2.0,1.0,58.0,0.03972602739726028
0,363,9,1050.0,2.0,1.0,32.0,0.030476190476190476
0,349,9,1260.0,2.0,2.0,55.0,0.04365079365079365
3,568,17,700.0,3.0,2.0,120.0,0.17142857142857143
0,507,9,1656.0,2.0,1.0,120.0,0.07246376811594203
3,279,11,1208.0,3.0,1.0,45.0,0.037251655629139076
3,1163,11,1910.0,3.0,2.0,161.0,0.08429319371727749
2,211,10,1200.0,2.0,1.0,65.0,0.05416666666666667
3,423,13,1200.0,4.0,1.0,175.0,0.14583333333333334
3,59,9,1175.0,2.0,1.0,82.0,0.06978723404255319
2,597,10,1000.0,2.0,0.0,165.0,0.165
2,199,14,1200.0,2.0,0.0,125.0,0.10416666666666667
2,1036,10,550.0,1.0,1.0,62.0,0.11272727272727273
3,636,0,1276.0,1.0,0.0,18.5,0.014498432601880877
3,958,9,1185.0,2.0,2.0,38.0,0.032067510548523206
3,636,9,750.0,2.0,1.0,38.0,0.050666666666666665
3,614,11,1550.0,3.0,3.0,64.5,0.04161290322580645
0,98,11,1760.0,3.0,2.0,88.0,0.05
3,244,9,1125.0,2.0,2.0,62.0,0.05511111111111111
2,787,12,1350.0,3.0,2.0,150.0,0.1111111111111111
2,104,10,1000.0,2.0,1.0,55.0,0.055
0,249,9,1090.0,2.0,2.0,31.48,0.028880733944954128
2,1056,10,1200.0,2.0,0.0,60.0,0.05
3,256,11,1991.0,4.0,2.0,103.0,0.05173279758915118
3,248,9,1060.0,2.0,1.0,26.5,0.025
3,94,9,1105.0,2.0,1.0,75.0,0.06787330316742081
0,493,9,985.0,2.0,2.0,67.0,0.06802030456852792
2,279,18,1533.0,5.0,3.0,85.0,0.055446836268754074
3,171,11,1590.0,3.0,2.0,79.0,0.04968553459119497
3,268,9,1120.0,2.0,2.0,55.0,0.049107142857142856
3,951,9,1069.0,2.0,1.0,55.0,0.05144995322731525
3,742,11,1933.0,3.0,2.0,140.0,0.07242628039317124
0,507,9,1194.0,2.0,0.0,69.0,0.05778894472361809
3,255,9,1150.0,2.0,3.0,69.0,0.06
3,1174,9,1240.0,2.0,2.0,47.12,0.038
3,901,9,1419.0,2.0,2.0,48.1,0.03389711064129669
3,1034,11,1450.0,3.0,2.0,55.0,0.03793103448275862
3,1089,11,1630.0,3.0,2.0,68.29,0.0418957055214724
3,326,9,708.0,1.0,1.0,40.0,0.05649717514124294
2,620,12,1000.0,4.0,3.0,110.0,0.11
3,217,9,1250.0,2.0,1.0,76.0,0.0608
3,59,11,1400.0,2.0,1.0,95.0,0.06785714285714285
3,962,11,1670.0,2.0,3.0,57.0,0.03413173652694611
3,125,11,1750.0,3.0,2.0,100.0,0.05714285714285714
3,1154,9,1404.0,2.0,1.0,71.0,0.05056980056980057
3,493,11,1715.0,2.0,2.0,95.0,0.05539358600583091
0,383,0,630.0,1.0,1.0,34.65,0.055
3,473,11,1752.12,3.0,2.0,135.0,0.07704951715635916
3,511,11,1650.0,3.0,2.0,78.0,0.04727272727272727
3,901,9,1295.0,2.0,1.0,55.47,0.042833976833976835
3,962,9,1346.0,2.0,1.0,74.03,0.055
2,1070,14,1200.0,4.0,2.0,200.0,0.16666666666666666
3,498,9,1150.0,2.0,2.0,55.0,0.04782608695652174
3,279,11,1190.0,2.0,2.0,30.35,0.02550420168067227
3,67,11,1620.0,3.0,2.0,98.0,0.06049382716049383
3,742,9,950.0,2.0,1.0,46.96,0.049431578947368424
3,473,11,2450.0,3.0,0.0,120.0,0.04897959183673469
3,385,11,1220.0,2.0,1.0,35.23,0.028877049180327866
3,510,9,850.0,2.0,1.0,30.0,0.03529411764705882
0,843,9,1020.0,2.0,2.0,63.0,0.061764705882352944
0,299,9,1100.0,2.0,2.0,50.0,0.045454545454545456
3,330,9,1150.0,2.0,2.0,126.0,0.10956521739130434
3,476,11,1760.0,2.0,2.0,130.0,0.07386363636363637
3,94,11,1800.0,3.0,3.0,110.0,0.06111111111111111
3,84,9,1070.0,2.0,1.0,54.0,0.05046728971962617
2,34,14,1500.0,4.0,2.0,220.0,0.14666666666666667
2,1129,10,1440.0,2.0,0.0,95.0,0.06597222222222222
3,100,9,900.0,2.0,1.0,40.0,0.044444444444444446
3,1163,9,1130.0,2.0,1.0,42.16,0.03730973451327433
3,661,9,1320.0,2.0,1.0,165.0,0.125
3,652,9,1270.0,2.0,1.0,98.0,0.07716535433070866
0,855,9,1200.0,2.0,1.0,62.0,0.051666666666666666
3,781,9,1200.0,2.0,1.0,74.0,0.06166666666666667
3,1033,9,929.0,2.0,0.0,50.17,0.05400430570505921
2,205,14,1125.0,4.0,3.0,180.0,0.16
2,634,16,500.0,3.0,2.0,65.0,0.13
2,38,16,1200.0,5.0,2.0,190.0,0.15833333333333333
3,579,11,1464.0,3.0,2.0,56.0,0.03825136612021858
2,196,14,2000.0,4.0,2.0,99.0,0.0495
3,299,9,1208.0,2.0,1.0,49.0,0.04056291390728477
3,477,9,1130.0,2.0,2.0,60.0,0.05309734513274336
3,1043,11,1753.0,3.0,2.0,120.0,0.06845407872219053
2,195,12,600.0,3.0,2.0,58.0,0.09666666666666666
